# Pathway	A1	A10	A11	A12	A2	A3	A4	A5	A6	A7	A8	A9	B1	B10	B11	B12	B2	B3	B4	B5	B7	B8	B9	C1	C2	C3	C4	C5	C6	C7	MAD001F	MAD005C	MAD006F	MAD009F	MAD012C	MAD012F	MAD013C	MAD013F	MAD014F	MAD015F	MAD024C	MAD024Crep	MAD025C	MAD025F	MAD026C	MAD026F	MAD029F	MAD032F	MAD035F	MAD037F	MAD038C	MAD038F	MAD039F	MAD040F	MAD041F	MAD042F	MAD043F	MAD044F	MAD045F	MAD046F	MAD047F	MAD048C	MAD048F	MAD049C	MAD049F	MAD050C	MAD050F	MAD051C	MAD051F	MAD052C	MAD052F	MAD053C	MAD053F	MAD054C	MAD054F	MAD055C	MAD055F	MAD056C	MAD056F	MAD057C	MAD057F	MAD058C	MAD058F	MAD059F	MAD060C	MAD060F
PWY-5686: UMP biosynthesis I	0.000387747	0.000353854	0.000352819	0.000466991	0.000370874	0.000262588	0.000435239	0.00050242	0.000374432	0.000324823	0.000396943	0.000295648	0.000427888	0.000416823	0.00056453	0.000563966	0.000339028	0.000508116	0.000535611	0.000374511	0.000516888	0.000491363	0.000454305	0.000389941	0.000580293	0.000536651	0.000509252	0.000386704	0.000471409	0.000247377	0.000498672	0.000339108	0.000533568	0.000507979	0.000453518	0.000613356	0.000390226	0.00045517	0.000523225	0.000560364	0.000570231	0.000576935	0.000535799	0.000566678	0.000665685	0.000681579	0.000553035	0.000711955	0.0006124	0.00063652	0.000313521	0.000440815	0.00059278	0.00049572	0.000492925	0.000621184	0.000581325	0.000585024	0.000512178	0.000325533	0.000470593	0.000578079	0.000552605	0.00048531	0.00050176	0.000267838	0.000633193	0.00034164	0.000512342	0.000512356	0.000488135	0.000407897	0.00059396	0.000571386	0.000432515	0.000368045	0.000482246	0.000438759	0.000525043	0.00042034	0.000416145	0.000499947	0.000417067	0.000311409	0.00046972	0.000518192
PWY-5686: UMP biosynthesis I|g__Abiotrophia.s__Abiotrophia_sp_HMSC24B09	0	0	0.000000207848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5686: UMP biosynthesis I|g__Absiella.s__Absiella_dolichum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000125369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5686: UMP biosynthesis I|g__Acidaminococcus.s__Acidaminococcus_intestini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000323772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000146056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000026791	0.00000828785	0	0	0	0	0	0	0	0	0.000000156847	0.0000132908	0	0	0	0	0
PWY-5686: UMP biosynthesis I|g__Actinobaculum.s__Actinobaculum_sp_oral_taxon_183	0	0	0.0000002028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5686: UMP biosynthesis I|g__Actinomyces.s__Actinomyces_graevenitzii	0	0	0.000000925444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000000777944	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5686: UMP biosynthesis I|g__Actinomyces.s__Actinomyces_johnsonii	0	0	0.0000000972012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5686: UMP biosynthesis I|g__Actinomyces.s__Actinomyces_naeslundii	0	0	0.000000604529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000000842607	0	0	0.000000161836	0	0	0	0	0	0	0	0.0000000473778	0	0	0	0	0	0
PWY-5686: UMP biosynthesis I|g__Actinomyces.s__Actinomyces_odontolyticus	0	0	0.00000238168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5686: UMP biosynthesis I|g__Actinomyces.s__Actinomyces_oris	0	0	0.000000253327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000000446906	0	0	0	0	0	0	0	0	0	0	0	0	0	0
