# Pathway	A1	A10	A11	A12	A2	A3	A4	A5	A6	A7	A8	A9	B1	B10	B11	B12	B2	B3	B4	B5	B7	B8	B9	C1	C2	C3	C4	C5	C6	C7	MAD001F	MAD005C	MAD006F	MAD009F	MAD012C	MAD012F	MAD013C	MAD013F	MAD014F	MAD015F	MAD024C	MAD024Crep	MAD025C	MAD025F	MAD026C	MAD026F	MAD029F	MAD032F	MAD035F	MAD037F	MAD038C	MAD038F	MAD039F	MAD040F	MAD041F	MAD042F	MAD043F	MAD044F	MAD045F	MAD046F	MAD047F	MAD048C	MAD048F	MAD049C	MAD049F	MAD050C	MAD050F	MAD051C	MAD051F	MAD052C	MAD052F	MAD053C	MAD053F	MAD054C	MAD054F	MAD055C	MAD055F	MAD056C	MAD056F	MAD057C	MAD057F	MAD058C	MAD058F	MAD059F	MAD060C	MAD060F
UNMAPPED	0.212671	0.211807	0.206517	0.22147	0.224462	0.194581	0.306454	0.306723	0.182372	0.181367	0.2123	0.164736	0.229931	0.264991	0.270821	0.241502	0.213665	0.192751	0.218151	0.215253	0.203927	0.174349	0.18764	0.203529	0.244385	0.264271	0.188408	0.184032	0.188464	0.17968	0.17206	0.218497	0.205776	0.216817	0.265352	0.335861	0.184671	0.212602	0.229725	0.259471	0.227806	0.216728	0.302545	0.213349	0.36146	0.230732	0.265172	0.204261	0.281746	0.254965	0.310629	0.23839	0.212108	0.264281	0.272509	0.21721	0.236044	0.232732	0.213922	0.175361	0.195059	0.201686	0.183252	0.183271	0.201487	0.242496	0.235711	0.169014	0.172353	0.206905	0.223229	0.300191	0.323771	0.178827	0.199964	0.364398	0.224481	0.211032	0.215813	0.17549	0.213489	0.193296	0.19686	0.176281	0.214239	0.230783
UNINTEGRATED	0.737324	0.739312	0.738852	0.72496	0.725932	0.76397	0.643837	0.633533	0.768011	0.773669	0.735384	0.790529	0.7171	0.680792	0.663555	0.697623	0.741361	0.750347	0.720978	0.736201	0.736071	0.764744	0.758997	0.744466	0.69488	0.682373	0.752736	0.764398	0.755251	0.776399	0.768542	0.732559	0.732722	0.723424	0.681972	0.600374	0.76131	0.733465	0.713337	0.674421	0.71513	0.724524	0.636603	0.72372	0.561645	0.701211	0.672191	0.726062	0.653367	0.680721	0.638526	0.704456	0.725566	0.677108	0.67541	0.718032	0.699837	0.702629	0.73057	0.778342	0.752687	0.731381	0.754212	0.748017	0.741176	0.701843	0.697478	0.770292	0.764364	0.732349	0.721353	0.636789	0.610681	0.757411	0.747463	0.592729	0.720725	0.734612	0.726503	0.77018	0.728918	0.75088	0.753456	0.782973	0.729358	0.711773
UNINTEGRATED|g__Abiotrophia.s__Abiotrophia_defectiva	0	0	0.0000787545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Abiotrophia.s__Abiotrophia_sp_HMSC24B09	0	0	0.0000923181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Absiella.s__Absiella_dolichum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000243555	0	0	0	0	0	0.000312725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acetobacter.s__Acetobacter_sp_CAG_267	0	0	0	0.000597114	0	0	0	0	0	0	0	0	0	0.0000391915	0	0	0.0122176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00184005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acidaminococcus.s__Acidaminococcus_intestini	0	0	0	0	0	0	0	0	0	0	0	0.000147715	0	0	0	0	0	0	0	0	0	0	0.0314976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00144591	0	0.000258127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0031118	0.00963413	0	0	0	0	0	0	0	0	0.000588704	0.0127596	0	0	0	0	0
UNINTEGRATED|g__Actinobaculum.s__Actinobaculum_sp_oral_taxon_183	0	0	0.000139725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000299782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000986463	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_graevenitzii	0	0	0.000657266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000693913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000993667	0	0	0	0	0	0.0000764465	0	0	0	0.0000211716	0	0	0	0.000038736	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_johnsonii	0	0	0.000205708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_naeslundii	0	0	0.000747931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000622834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000739954	0	0	0.000130922	0	0	0	0	0	0	0	0.0000192798	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_odontolyticus	0	0	0.00190091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_oris	0	0	0.000274912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000357411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000512682	0	0	0.000212823	0	0	0	0	0	0	0	0.0000188892	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_sp_HMSC035G02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000645091	0	0	0	0	0	0	0	0.000119358	0	0.0000568767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_sp_HPA0247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000150673	0.000189582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000154015	0	0	0	0	0	0	0	0.000124206	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_sp_ICM47	0	0	0.000639681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000155714	0	0	0	0	0	0	0.0000770059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000570261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000109665	0.000126745	0	0	0	0	0	0.000231601	0	0	0.000124219	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_sp_oral_taxon_180	0	0	0.000101379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_sp_oral_taxon_181	0	0	0.000238876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000194133	0	0	0	0.0000877752	0	0	0	0.0000852645	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_turicensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000283856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000184931	0	0	0	0.0000586008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_viscosus	0	0	0.00018293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000400431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000515084	0	0	0.00017693	0	0	0	0	0	0	0	0.0000159256	0	0	0	0	0	0
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	0	0.000436401	0	0.000066019	0.0000283412	0.000069832	0	0.000417597	0.0000689062	0.000231881	0.000106776	0	0.000123055	0	0.0000695468	0.000260721	0.0000313552	0.0000970567	0.000592479	0.000116449	0.00023453	0	0.0000371219	0.000343078	0	0.0000328365	0	0	0	0	0	0	0.000460151	0.0000237223	0.000345809	0.000147275	0	0.000754641	0	0.0000777002	0	0	0	0.000473325	0	0	0.000262589	0.00113736	0.000159825	0.000330628	0	0.000332794	0.000824805	0.000243534	0	0.00132435	0.000165013	0.000213878	0.000522695	0.000295994	0.0000259596	0	0	0	0.000448867	0.00013489	0.000330542	0	0.000023198	0	0	0	0.000127441	0	0	0	0.000265915	0.00018367	0.000985514	0	0	0.000250949	0.000105238	0.000103961	0	0
UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	0	0	0	0.00259187	0.00108473	0.000917433	0.00128084	0.00140178	0.000901528	0.00099025	0.00135303	0.000493326	0.00211055	0.00115666	0.00209618	0.0018128	0.0011298	0.00253351	0.00431601	0.000835465	0.00196295	0.000733223	0.00103081	0.00134725	0.00233455	0	0.0012256	0.000480135	0.00129117	0.000385938	0.00428047	0.000749237	0.00240561	0	0.00175821	0.00381193	0.00115074	0.00431091	0.00161624	0	0.0011282	0.000961986	0	0.00234406	0	0.00282263	0.00129447	0.0013347	0.00203782	0.00175489	0	0.0011332	0.00155414	0.00160995	0.00295999	0.00146337	0.00183087	0.00131141	0.00134598	0.000773961	0.000704396	0.00201392	0.00398688	0.00088729	0.00223338	0.00103665	0.0018779	0	0	0	0.000450662	0.00174044	0.00286876	0.0018219	0.00244369	0	0.00150473	0.00183344	0.00458801	0	0	0.000637377	0.000538396	0.00171967	0.00100986	0.000966393
UNINTEGRATED|g__Aggregatibacter.s__Aggregatibacter_aphrophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0.00579711	0	0	0	0.0170323	0	0	0.000368911	0	0	0	0	0	0.0035709	0	0.000222783	0	0.000163698	0.113257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000115114	0.0210306	0	0.00010852	0.0000789492	0	0	0	0	0	0.000120974	0.0107982	0	0.0000335224	0.0352422	0.00133476	0	0	0	0	0.0292251	0.0000999081	0.000195406	0	0	0	0	0	0.000230658	0	0	0	0.0000700331	0.000327208	0.0168368	0	0.00309939	0.000103434	0.00419581	0.0328583	0.00282552	0.000229401	0	0	0	0	0.00013513	0
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	0.00196434	0.000789541	0.000101081	0.00135947	0.00290869	0.000285974	0.0139195	0.00277972	0.000277196	0.00118763	0.00152461	0.000819943	0.000574433	0.000567687	0.000543687	0.00768342	0.00234248	0.000405737	0.00126635	0.000100712	0.00251056	0.0186897	0.003616	0.00187532	0.00511291	0.00365396	0.000181738	0.0000586628	0.00104407	0.000221533	0	0.000105588	0.00229801	0.000376315	0.000319247	0.000893351	0	0.000532374	0.000241114	0.0433508	0.000088109	0.000227331	0.0000560802	0.00201593	0.0000963111	0	0.00868515	0.00403734	0.00042228	0.00256141	0.00015586	0.00208288	0.000965955	0.00196233	0.00266351	0.000277254	0.00214551	0.0142042	0.000706509	0.000503635	0	0	0.00116969	0.0000468064	0.00118584	0.000460689	0.00374425	0.0000942147	0.00129443	0.00374005	0.0156876	0.0000498349	0.000341233	0.000230272	0.000870573	0.0000449246	0	0.00154668	0.000854086	0.000158738	0.00215384	0.000165875	0	0.000624486	0.000422828	0.00764049
UNINTEGRATED|g__Alistipes.s__Alistipes_indistinctus	0	0	0	0	0.0000509611	0	0	0	0	0.000111383	0.0000359076	0.0000210313	0	0.0000317976	0	0	0.0000216293	0	0.000239281	0	0	0.0000484386	0.000467249	0	0	0	0	0	0	0	0	0	0	0.000224713	0.000160915	0.00459623	0	0	0	0	0	0	0	0	0	0	0	0	0.00289521	0	0	0	0	0.000469236	0.0000528789	0	0.000118601	0.000359313	0	0.0003608	0.0000626839	0	0	0	0	0	0	0	0	0	0	0	0.00139805	0	0	0	0	0	0.0000246229	0	0	0	0	0	0	0.00145752
UNINTEGRATED|g__Alistipes.s__Alistipes_onderdonkii	0.000522188	0.000300683	0.000043296	0.000147714	0.00075842	0	0.0187731	0	0.000166276	0.000251109	0.000379145	0.000136523	0.000346901	0.0000945983	0.000190674	0.00154007	0.000270152	0.000113458	0.000452686	0.0000769646	0.000372598	0.00110818	0.000531279	0.000365629	0.000841442	0.0006686	0.000099368	0	0.000367982	0.0000587432	0	0.0000373647	0.0038984	0.000217992	0.000226415	0.000567556	0	0.000167965	0	0.00372938	0.0000585553	0.000107608	0	0.000528609	0.0000199667	0	0.00167544	0.000807183	0.000140159	0.000989872	0	0	0.0016804	0.000891167	0.000904769	0.0000784013	0.000392523	0.00153215	0.00117984	0.000242395	0	0	0.0000112297	0.0000196257	0.000257397	0.000345373	0.00210174	0.0000277854	0.000190834	0.00115655	0.0044663	0	0	0	0.000245519	0.0000165515	0	0.000403421	0.000219615	0.0000661708	0.000322089	0.0000559172	0	0.00016536	0.000184751	0.00115383
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	0.00913196	0.00175243	0.00111298	0.00217407	0.0246653	0.0123569	0	0.024862	0.0212449	0.0150908	0.0288076	0.00144144	0.0160575	0.0264421	0.0102374	0.0180823	0.00932632	0.0118846	0.0214677	0.00667187	0.00498623	0.000419836	0.0453899	0.0182294	0.0110815	0.0132114	0.00109032	0.00116015	0.0251671	0.00965022	0	0.000326515	0	0.000509476	0.0200173	0.0231015	0	0	0.0115974	0.0354961	0.00208567	0.00273569	0.000418502	0.0205537	0.00027839	0	0.0236982	0	0.00633406	0.0192624	0.000528674	0.00304986	0.0158578	0.0420814	0.000738027	0.00504431	0.0233617	0.0192771	0.0132153	0.0159328	0.000132603	0	0	0	0.0146975	0.00384061	0.0176222	0.000549573	0.017977	0.00217796	0.0120882	0.000886393	0.00847794	0.00115012	0.0262499	0.000108964	0.00295287	0.0186185	0.0123546	0.000241475	0.00798372	0.00381244	0.00213354	0.0100656	0.00136053	0.0172653
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	0	0.000635422	0	0.000641905	0.00352513	0.00170172	0	0	0.00162045	0.000771235	0.00258629	0.000184081	0.00338344	0.00266741	0.000701696	0	0.00189846	0.00131067	0.00358999	0.000799397	0.00135764	0.00256172	0.000653476	0.00348265	0.00187007	0	0.000132215	0	0.00158047	0.000437118	0	0.000133414	0	0.000716687	0.0015261	0.00800933	0	0.00195177	0.00170602	0	0.000195622	0.000300642	0	0	0	0	0	0	0.00156677	0.0112567	0	0	0.00272214	0.00711221	0	0.000869576	0.00435308	0.00605007	0.00204147	0.0019554	0.0000781574	0	0	0	0.00161444	0.00056147	0.00258417	0	0.00262353	0.000461274	0.000922617	0.000480016	0.00431782	0.000564594	0.00238604	0	0.00227277	0.0013694	0.00154002	0	0.00093799	0.000149346	0	0.000563052	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_sp_CAG_435	0	0	0.0000176665	0	0	0	0	0	0	0	0	0	0	0	0.0204539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_sp_CAG_514	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00371642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_timonensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00181253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00104284	0.000386195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000438127
UNINTEGRATED|g__Allisonella.s__Allisonella_histaminiformans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000385734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000242751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Alloprevotella.s__Alloprevotella_tannerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00125661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000244399	0	0	0	0.000437111	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Anaerofustis.s__Anaerofustis_stercorihominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000510901	0.000268483	0	0	0	0	0	0	0	0	0	0	0	0	0.000319563	0	0	0	0	0	0	0.000149422	0	0	0	0	0	0	0	0	0	0	0	0.000155771	0.000177734	0	0	0	0	0	0	0
UNINTEGRATED|g__Anaeromassilibacillus.s__Anaeromassilibacillus_sp_An250	0	0	0	0	0	0	0	0.000817734	0	0	0	0	0.000210407	0	0.000185362	0	0	0	0.00028225	0	0	0.000183793	0.00031061	0	0	0	0	0	0	0.0000874166	0	0	0.000148993	0	0	0.000556817	0	0	0.000404465	0.000178076	0	0	0	0	0	0.000466307	0	0	0	0.000646833	0	0.000197467	0.000309203	0.000348683	0	0	0	0.000190742	0.000162384	0	0	0	0	0	0.000194936	0	0.000504573	0	0	0	0	0	0	0	0	0	0	0	0.00035618	0	0	0	0	0	0	0
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_caccae	0.00108154	0	0.00165861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00252375	0.00206161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000539075	0.000495598	0	0	0	0	0	0.00062637	0	0	0	0	0	0.000314387	0	0	0	0	0	0.00026373	0	0	0	0	0
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	0.000356681	0.00173626	0.000564178	0.0215902	0.00191987	0.000691511	0.00363608	0.00813683	0.00280131	0.00320654	0.0109562	0	0.00556323	0.00166465	0.00681623	0.00624366	0.00374487	0.00933103	0.0127455	0.00690321	0.0113486	0.000853935	0.00348679	0.0142294	0.00552054	0.00189023	0.0100232	0.00139526	0.00754547	0.00181017	0.00651656	0.00919727	0.0114241	0.00191463	0.00795629	0.0120513	0.00446058	0.00599402	0.00432119	0.000591019	0.0117874	0.00875797	0.00572713	0.00719648	0.00109835	0	0.00353238	0.00419394	0.00238909	0.00193923	0.0479982	0.0135946	0.015601	0.00145202	0.00953743	0.0125882	0.00378422	0.0033845	0.0183998	0.00405269	0.00236748	0.014402	0.0129939	0.00959528	0.0041543	0.00249152	0.010136	0.00175372	0.021226	0.00423161	0.0120695	0.00120404	0.00817162	0.0147328	0.0189887	0.0103535	0.0044781	0.00594213	0.0143399	0.018641	0.000946505	0.00631595	0.00841627	0.00233971	0.00974233	0.0201094
UNINTEGRATED|g__Anaerotignum.s__Anaerotignum_lactatifermentans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_colihominis	0	0	0	0	0	0	0	0	0	0	0.000721037	0	0.00170282	0.00164378	0.00137145	0.00222363	0	0	0.00171579	0	0	0.00132288	0	0.00119451	0	0.00507827	0	0	0	0	0	0	0.00170828	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00254044	0.00231542	0.00149815	0	0	0	0.0020522	0	0	0	0	0.00234644	0.001774	0	0	0	0	0	0	0	0.00182816	0	0	0.000891068	0.00065389	0	0	0	0	0	0.00188228	0	0.00185278	0	0.0011773	0	0.00283063	0	0	0
UNINTEGRATED|g__Asaccharobacter.s__Asaccharobacter_celatus	0	0.000805382	0	0.000161254	0.0000553271	0.000123059	0	0.000786341	0.00013895	0	0.00022172	0	0.000214351	0	0.000230409	0.000592167	0.0000618855	0.000201397	0.00108809	0	0.000491945	0	0	0.000657993	0	0.0000651308	0	0	0	0	0	0	0.000965178	0.0000403215	0.000513138	0.000307604	0	0	0	0.000177243	0	0	0	0	0	0	0.000637701	0	0	0.000628452	0	0.000753808	0.0021722	0.000668494	0	0	0.000337188	0.000346087	0.00137203	0.000672946	0.0000533652	0	0	0	0.000989873	0.000319055	0.000874761	0	0.000105187	0	0	0	0.000275291	0	0	0	0.000523318	0.000653669	0	0	0	0.00066097	0.000265321	0.000289473	0	0
UNINTEGRATED|g__Atopobium.s__Atopobium_parvulum	0	0	0.000106967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Atopobium.s__Atopobium_rimae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Azospirillum.s__Azospirillum_sp_CAG_260	0	0.0000773257	0	0.000156374	0	0	0	0	0	0	0	0	0	0.00229846	0	0	0.00109832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000838362	0.00126342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000157807	0.00556391	0	0	0	0	0	0	0	0	0	0.00223066	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	0.00964803	0.00530915	0.00252596	0.00572088	0.0201647	0	0.0158096	0.0119934	0.0723533	0.00143784	0.00882628	0.00440926	0.0427433	0.00765727	0.00636807	0.0165326	0.00302078	0	0	0.00309585	0.0264944	0.014448	0.00254477	0.0134461	0.0178567	0.0068295	0	0.00124816	0.0326196	0.00774321	0	0.00227283	0	0.00116096	0.0105879	0.0042646	0.00856271	0.0173473	0.00799863	0.0306018	0.00475942	0.00617324	0.000845372	0.00303983	0.000510818	0	0.0100385	0.00717448	0.00138574	0	0.00770792	0.0346953	0.0123175	0	0.00100229	0	0.00984112	0.0179875	0.012395	0	0.00163574	0.0263571	0.0329854	0.00275784	0.00829866	0.024811	0.00628544	0.00219773	0	0	0	0.000771185	0.00320601	0	0	0.00301773	0.00520964	0.0484038	0.0142145	0.0053982	0.0787832	0.00607735	0.0947977	0	0.0165404	0.0193551
UNINTEGRATED|g__Bacteroides.s__Bacteroides_cellulosilyticus	0.0103224	0	0.00154824	0	0	0.00130498	0.00396279	0	0	0	0	0.0436331	0	0.0051807	0	0.00769956	0	0	0	0	0	0.010279	0.00173781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00465099	0	0	0	0	0	0	0	0	0	0.034716	0	0	0.00562169	0.0117163	0	0	0.0206816	0.0102529	0.00571156	0	0	0	0	0	0.00104583	0	0	0	0	0.00150786	0.0155778	0	0	0	0	0	0	0.033409	0.0164434	0.00128357	0	0	0	0	0	0.00157116
UNINTEGRATED|g__Bacteroides.s__Bacteroides_clarus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000964587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
